=== Case 0 ===
  Agent: Planner
  step 0: [1:0.3580, user:0.1162, \n\n:0.0622, 俍:0.0377, 0:0.0259]
  step 22: [.:0.1551, \n\n:0.1551, ::0.0830, <space>:0.0444,  the:0.0392]
  step 23: [.:0.1553, \n\n:0.1459, ::0.0831, <space>:0.0445,  the:0.0369]
  step 24: [.:0.1528, \n\n:0.1349, ::0.0871, <space>:0.0466,  the:0.0386]
  step 25: [.:0.1534, \n\n:0.1195, ::0.0821, <space>:0.0468,  the:0.0364]
  step 26: [.:0.1448, \n\n:0.1201, ::0.0825, <space>:0.0470,  the:0.0366]
  step 27: [.:0.1419, \n\n:0.1105, ::0.0861, <space>:0.0490,  the:0.0359]
  step 28: [.:0.1399, \n\n:0.1023, ::0.0848, <space>:0.0454,  the:0.0354]
  step 29: [.:0.1386, \n\n:0.0953, ::0.0841, <space>:0.0479, :\n\n:0.0350]
  step 30: [.:0.1434, \n\n:0.0926, ::0.0870, <space>:0.0496,  the:0.0320]
  step 31: [.:0.1400, \n\n:0.0849, ::0.0849, <space>:0.0484,  the:0.0333]
  step 32: [.:0.1362, \n\n:0.0826, ::0.0826, <space>:0.0501,  the:0.0323]
  step 33: [.:0.1340, ::0.0865, \n\n:0.0763, <space>:0.0493,  the:0.0318]
  step 34: [.:0.1261, ::0.0814, \n\n:0.0718, <space>:0.0526, :\n\n:0.0319]
  step 35: [.:0.1296, ::0.0837, \n\n:0.0694, <space>:0.0508, :\n\n:0.0308]
  step 36: [.:0.1304, ::0.0842, \n\n:0.0656, <space>:0.0511, :\n\n:0.0310]
  step 37: [.:0.1251, ::0.0808, \n\n:0.0629, <space>:0.0522, :\n\n:0.0297]
  step 38: [.:0.1212, ::0.0782, \n\n:0.0572, <space>:0.0505, :\n\n:0.0288]
  step 39: [.:0.1200, ::0.0775, \n\n:0.0603, <space>:0.0500, :\n\n:0.0285]

=== Case 25 ===
  Agent: Critic
  step 0: [Human:0.5844, A:0.0374, Question:0.0257, Q:0.0257, Given:0.0227]
  step 1: [\n\n:0.4094, .:0.1934, \n:0.0972, ::0.0520,  the:0.0262]
  step 2: [.:0.3633, \n\n:0.1108, \n:0.0978, ,:0.0360, <space>:0.0280]
  step 3: [.:0.3749, \n\n:0.1379, <space>:0.0651, \n:0.0575,  .:0.0371]
  step 4: [\n\n:0.3153, .:0.2782, <space>:0.0903, \n:0.0621, ,:0.0293]
  step 5: [\n\n:0.7449, .:0.1467, .\n\n:0.0225, \n:0.0155, ..:0.0136]
  step 6: [\n\n:0.7599, .:0.1321, .\n\n:0.0260, ..:0.0158, \n:0.0123]
  step 7: [\n\n:0.7108, .:0.1586, .\n\n:0.0312, ..:0.0189, \n\t\n:0.0148]
  step 8: [\n\n:0.7065, .:0.1576, .\n\n:0.0310, ..:0.0188, \n:0.0147]
  step 9: [\n\n:0.6804, .:0.1720, .\n\n:0.0339, ..:0.0205, \n\t\n:0.0160]
  step 10: [\n\n:0.6527, .:0.1870, .\n\n:0.0368, ..:0.0223, ..\n\n:0.0174]
  step 11: [\n\n:0.6676, .:0.1688, .\n\n:0.0377, ..:0.0228, ..\n\n:0.0178]
  step 12: [\n\n:0.6161, .:0.2000, .\n\n:0.0446, ..:0.0271, ..\n\n:0.0186]
  step 13: [\n\n:0.6078, .:0.1973, .\n\n:0.0499, ..:0.0267, ..\n\n:0.0208]
  step 14: [\n\n:0.6200, .:0.1776, .\n\n:0.0509, ..:0.0272, ..\n\n:0.0212]
  step 15: [\n\n:0.6015, .:0.1953, .\n\n:0.0494, ..:0.0299, ..\n\n:0.0206]
  step 16: [\n\n:0.5328, .:0.2221, .\n\n:0.0636, ..:0.0341, ..\n\n:0.0265]
  step 17: [\n\n:0.5621, .:0.2068, .\n\n:0.0592, ..:0.0317, ..\n\n:0.0247]
  step 18: [\n\n:0.5531, .:0.2035, .\n\n:0.0661, ..:0.0354, ..\n\n:0.0243]
  step 19: [\n\n:0.5249, .:0.2188, .\n\n:0.0710, ..:0.0336, ..\n\n:0.0261]
  step 20: [\n\n:0.4913, .:0.2321, .\n\n:0.0753, ..:0.0356, ..\n\n:0.0277]
  step 21: [\n\n:0.5156, .:0.2149, .\n\n:0.0698, ..:0.0373, ..\n\n:0.0291]
  step 22: [\n\n:0.4837, .:0.2285, .\n\n:0.0742, ..:0.0397, ..\n\n:0.0309]
  step 23: [\n\n:0.4530, .:0.2425, .\n\n:0.0787, ..:0.0421, ..\n\n:0.0328]
  step 24: [\n\n:0.4289, .:0.2601, .\n\n:0.0845, ..:0.0452, ..\n\n:0.0311]
  step 25: [\n\n:0.4170, .:0.2529, .\n\n:0.0930, ..:0.0440, ..\n\n:0.0342]
  step 26: [\n\n:0.4299, .:0.2608, .\n\n:0.0847, ..:0.0400, ..\n\n:0.0311]
  step 27: [\n\n:0.4149, .:0.2517, .\n\n:0.0926, ..:0.0437, ..\n\n:0.0341]
  step 28: [\n\n:0.3923, .:0.2696, .\n\n:0.0992, ..:0.0413, ..\n\n:0.0322]
  step 29: [\n\n:0.3825, .:0.2629, .\n\n:0.0967, ..:0.0457, ..\n\n:0.0356]
  step 30: [\n\n:0.3773, .:0.2593, .\n\n:0.1081, ..:0.0451, ..\n\n:0.0351]
  step 31: [\n\n:0.3733, .:0.2565, .\n\n:0.1069, ..:0.0446, ..\n\n:0.0347]
  step 32: [\n\n:0.3594, .:0.2799, .\n\n:0.1030, ..:0.0429, ..\n\n:0.0334]
  step 33: [\n\n:0.3218, .:0.2840, .\n\n:0.1184, ..:0.0436, ..\n\n:0.0384]
  step 34: [\n\n:0.3239, .:0.2858, .\n\n:0.1191, ..:0.0438, ..\n\n:0.0341]
  step 35: [\n\n:0.3168, .:0.2796, .\n\n:0.1165, ..:0.0486, ..\n\n:0.0378]
  step 36: [\n\n:0.3219, .:0.2840, .\n\n:0.1184, ..:0.0436, ..\n\n:0.0339]
  step 37: [\n\n:0.2970, .:0.2970, .\n\n:0.1238, ..:0.0455, ..\n\n:0.0355]
  step 38: [\n\n:0.3169, .:0.2796, .\n\n:0.1166, ..:0.0429, ..\n\n:0.0334]
  step 39: [.:0.3099, \n\n:0.2734, .\n\n:0.1292, ..:0.0475, ..\n\n:0.0370]

=== Case 26 ===
  Agent: Critic
  step 0: [Human:0.5106, Given:0.0475, A:0.0475, You:0.0288, In:0.0288]
  step 1: [.:0.4991,  the:0.1046, \n\n:0.0719, \n:0.0436, ,:0.0282]
  step 2: [.:0.6450, \n\n:0.0302, \n:0.0235, ,:0.0207, .\n\n:0.0195]
  step 3: [.:0.6641, \n\n:0.0375, .\n\n:0.0292, <space>:0.0274, \n:0.0213]
  step 4: [.:0.6608, \n\n:0.0697,  .:0.0373, <space>:0.0373, .\n\n:0.0329]
  step 5: [\n\n:0.5764, .:0.2120, .\n\n:0.0688, \n\t\n:0.0418, \n:0.0368]
  step 6: [\n\n:0.6062, .:0.1968, .\n\n:0.0639, \n\t\n:0.0388, \n:0.0342]
  step 7: [\n\n:0.5825, .:0.2143, .\n\n:0.0696, \n\t\n:0.0372, \n:0.0329]
  step 8: [\n\n:0.5541, .:0.2310, .\n\n:0.0750, \n\t\n:0.0401, \n:0.0313]
  step 9: [\n\n:0.5496, .:0.2291, .\n\n:0.0843, \n\t\n:0.0398, \n:0.0274]
  step 10: [\n\n:0.5182, .:0.2448, .\n\n:0.0900, \n\t\n:0.0425, \n:0.0292]
  step 11: [\n\n:0.4917, .:0.2632, .\n\n:0.0968, \n\t\n:0.0404, \n:0.0277]
  step 12: [\n\n:0.4577, .:0.2776, .\n\n:0.1157, \n\t\n:0.0376, \n:0.0258]
  step 13: [\n\n:0.4264, .:0.2931, .\n\n:0.1222, \n\t\n:0.0397, \n:0.0273]
  step 14: [\n\n:0.4146, .:0.2850, .\n\n:0.1346, \n\t\n:0.0386, \n:0.0265]
  step 15: [\n\n:0.3909, .:0.3044, .\n\n:0.1438, \n\t\n:0.0364, \n:0.0250]
  step 16: [\n\n:0.3633, .:0.3206, .\n\n:0.1514, \n\t\n:0.0338, \n:0.0263]
  step 17: [\n\n:0.3351, .:0.3351, .\n\n:0.1583, \n\t\n:0.0312, \n:0.0243]
  step 18: [\n\n:0.3381, .:0.3381, .\n\n:0.1597, \n\t\n:0.0314, \n:0.0216]
  step 19: [.:0.3556, \n\n:0.3138, .\n\n:0.1680, \n\t\n:0.0258, \n:0.0227]
  step 20: [.:0.3606, \n\n:0.2809, .\n\n:0.1930, \n\t\n:0.0261, \n:0.0203]
  step 21: [.:0.3717, \n\n:0.2555, .\n\n:0.1990, \n\t\n:0.0269, \n:0.0210]
  step 22: [.:0.3711, \n\n:0.2551, .\n\n:0.1987, \n\t\n:0.0237, \n:0.0209]
  step 23: [.:0.3882, \n\n:0.2354, .\n\n:0.2078, \n\t\n:0.0219, .\n:0.0193]
  step 24: [.:0.3878, \n\n:0.2352, .\n\n:0.2076, .\n:0.0219, \n\t\n:0.0193]
  step 25: [.:0.3983, .\n\n:0.2132, \n\n:0.2132, .\n:0.0225, \n:0.0186]
  step 26: [.:0.4003, .\n\n:0.2143, \n\n:0.2143, .\n:0.0226, \n:0.0176]
  step 27: [.:0.4163, .\n\n:0.2228, \n\n:0.1966, .\n:0.0207, \n:0.0161]
  step 28: [.:0.4253, .\n\n:0.2276, \n\n:0.1773, .\n:0.0212, \n:0.0165]
  step 29: [.:0.4201, .\n\n:0.2249, \n\n:0.1751, .\n:0.0237, \n:0.0163]
  step 30: [.:0.4333, .\n\n:0.2319, \n\n:0.1594, .\n:0.0216, \n:0.0168]
  step 31: [.:0.4437, .\n\n:0.2096, \n\n:0.1632, .\n:0.0250, \n:0.0172]
  step 32: [.:0.4298, .\n\n:0.2301, \n\n:0.1581, .\n:0.0214, \n:0.0167]
  step 33: [.:0.4536, .\n\n:0.2143, \n\n:0.1473, .\n:0.0226, ,:0.0155]
  step 34: [.:0.4499, .\n\n:0.2125, \n\n:0.1461, .\n:0.0224, ,:0.0174]
  step 35: [.:0.4608, .\n\n:0.2177, \n\n:0.1320, .\n:0.0229, ,:0.0179]
  step 36: [.:0.4492, .\n\n:0.2122, \n\n:0.1458, .\n:0.0224, ,:0.0174]
  step 37: [.:0.4579, .\n\n:0.2163, \n\n:0.1312, .\n:0.0228, ,:0.0178]
  step 38: [.:0.4518, .\n\n:0.2134, \n\n:0.1294, .\n:0.0225, ,:0.0199]
  step 39: [.:0.4281, .\n\n:0.2291, \n\n:0.1390, .\n:0.0213, ,:0.0188]

=== Case 27 ===
  Agent: Critic
  step 0: [Human:0.5422, Given:0.0504, A:0.0393, In:0.0306, You:0.0238]
  step 1: [\n\n:0.3044,  the:0.2092, .:0.0988,  a:0.0638, \n:0.0599]
  step 2: [.:0.3467, \n\n:0.1276, \n:0.1276, ,:0.0285, <space>:0.0251]
  step 3: [.:0.3300, \n\n:0.2268, \n:0.0834, <space>:0.0447, ,:0.0271]
  step 4: [\n\n:0.5313, .:0.1954, \n:0.0719, <space>:0.0436, ,:0.0125]
  step 5: [\n\n:0.7275, .:0.1623, .\n\n:0.0282, \n:0.0282, .m:0.0081]
  step 6: [\n\n:0.7246, .:0.1617, .\n\n:0.0318, \n:0.0248, ..:0.0080]
  step 7: [\n\n:0.6780, .:0.1942, .\n\n:0.0338, \n:0.0263, ..:0.0097]
  step 8: [\n\n:0.6688, .:0.1916, .\n\n:0.0377, \n:0.0259, ..:0.0122]
  step 9: [\n\n:0.6436, .:0.2090, .\n\n:0.0411, \n:0.0220, ..:0.0134]
  step 10: [\n\n:0.6345, .:0.2060, .\n\n:0.0460, \n:0.0217, ..:0.0149]
  step 11: [\n\n:0.6074, .:0.2234, .\n\n:0.0499, \n:0.0208, ..:0.0162]
  step 12: [\n\n:0.5982, .:0.2201, .\n\n:0.0556, \n:0.0205, ..:0.0181]
  step 13: [\n\n:0.5656, .:0.2358, .\n\n:0.0596, \n:0.0219, ..:0.0194]
  step 14: [\n\n:0.5638, .:0.2350, .\n\n:0.0594, ..:0.0219, \n:0.0193]
  step 15: [\n\n:0.5293, .:0.2500, .\n\n:0.0716, ..:0.0233, \n:0.0181]
  step 16: [\n\n:0.5308, .:0.2507, .\n\n:0.0718, ..:0.0233, .m:0.0182]
  step 17: [\n\n:0.5009, .:0.2681, .\n\n:0.0768, ..:0.0249, .m:0.0194]
  step 18: [\n\n:0.4866, .:0.2605, .\n\n:0.0846, ..:0.0275, .m:0.0214]
  step 19: [\n\n:0.4547, .:0.2758, .\n\n:0.0895, ..:0.0291, .m:0.0226]
  step 20: [\n\n:0.4315, .:0.2966, .\n\n:0.0963, ..:0.0313, .m:0.0215]
  step 21: [\n\n:0.4010, .:0.3123, .\n\n:0.1014, ..:0.0329, .m:0.0226]
  step 22: [\n\n:0.3996, .:0.3112, .\n\n:0.1010, ..:0.0328, .m:0.0225]
  step 23: [\n\n:0.3937, .:0.3066, .\n\n:0.1128, ..:0.0323, .m:0.0222]
  step 24: [\n\n:0.3709, .:0.3273, .\n\n:0.1063, ..:0.0345, .m:0.0237]
  step 25: [\n\n:0.3349, .:0.3349, .\n\n:0.1232, ..:0.0353, .m:0.0243]
  step 26: [\n\n:0.3353, .:0.3353, .\n\n:0.1233, ..:0.0353, ..\n\n:0.0275]
  step 27: [.:0.3487, \n\n:0.3077, .\n\n:0.1283, ..:0.0368, .m:0.0286]
  step 28: [\n\n:0.3226, .:0.3226, .\n\n:0.1345, ..:0.0385, .m:0.0265]
  step 29: [.:0.3407, \n\n:0.3007, .\n\n:0.1420, ..:0.0407, .m:0.0247]
  step 30: [.:0.3383, \n\n:0.2986, .\n\n:0.1410, ..:0.0404, ..\n\n:0.0278]
  step 31: [.:0.3537, \n\n:0.2755, .\n\n:0.1475, ..:0.0422, .m:0.0256]
  step 32: [.:0.3660, \n\n:0.2515, .\n\n:0.1526, ..:0.0437, .m:0.0265]
  step 33: [.:0.3621, \n\n:0.2488, .\n\n:0.1509, ..:0.0432, ..\n\n:0.0297]
  step 34: [.:0.3501, \n\n:0.2406, .\n\n:0.1654, ..:0.0418, .m:0.0287]
  step 35: [.:0.3685, \n\n:0.2235, .\n\n:0.1741, ..:0.0388, ..\n\n:0.0303]
  step 36: [.:0.3786, \n\n:0.2296, .\n\n:0.1578, ..:0.0399, .m:0.0274]
  step 37: [.:0.3887, \n\n:0.2081, .\n\n:0.1620, ..:0.0410, ..\n\n:0.0319]
  step 38: [.:0.3535, \n\n:0.2144, .\n\n:0.1892, ..:0.0422, ..\n\n:0.0290]
  step 39: [.:0.3726, \n\n:0.1994, .\n\n:0.1760, ..:0.0445, ..\n\n:0.0306]

=== Case 28 ===
  Agent: Critic
  step 0: [Human:0.6146, Given:0.0572, A:0.0445, Q:0.0306, You:0.0270]
  step 1: [ the:0.2334, \n\n:0.1416,  a:0.1416, .:0.0859, \n:0.0628]
  step 2: [.:0.2248, \n:0.1545, \n\n:0.1131, ,:0.0443,  is:0.0324]
  step 3: [.:0.2635, \n\n:0.1410, \n:0.0755, ,:0.0458, <space>:0.0404]
  step 4: [.:0.2978, \n\n:0.2628, \n:0.0853, <space>:0.0457, ,:0.0356]
  step 5: [\n\n:0.8539, .:0.0794, .\n\n:0.0177, \n:0.0177, ..:0.0045]
  step 6: [\n\n:0.8394, .:0.0885, .\n\n:0.0197, \n:0.0174, ..:0.0050]
  step 7: [\n\n:0.8171, .:0.0976, .\n\n:0.0218, \n:0.0192, ..:0.0062]
  step 8: [\n\n:0.8138, .:0.0972, .\n\n:0.0246, \n:0.0169, ..:0.0070]
  step 9: [\n\n:0.7908, .:0.1070, .\n\n:0.0271, \n:0.0164, ..:0.0100]
  step 10: [\n\n:0.7685, .:0.1178, .\n\n:0.0298, \n:0.0181, ..:0.0110]
  step 11: [\n\n:0.7458, .:0.1296, .\n\n:0.0328, \n:0.0175, ..:0.0121]
  step 12: [\n\n:0.7368, .:0.1280, .\n\n:0.0367, \n:0.0173, ..:0.0135]
  step 13: [\n\n:0.7425, .:0.1290, .\n\n:0.0326, \n:0.0175, ..:0.0136]
  step 14: [\n\n:0.6928, .:0.1546, .\n\n:0.0391, ..:0.0185, \n:0.0163]
  step 15: [\n\n:0.6860, .:0.1531, .\n\n:0.0439, ..:0.0183, \n:0.0161]
  step 16: [\n\n:0.6876, .:0.1534, .\n\n:0.0440, ..:0.0183, \n:0.0143]
  step 17: [\n\n:0.6690, .:0.1692, .\n\n:0.0428, ..:0.0178, \n:0.0157]
  step 18: [\n\n:0.6589, .:0.1666, .\n\n:0.0477, ..:0.0199, \n:0.0155]
  step 19: [\n\n:0.6305, .:0.1806, .\n\n:0.0518, ..:0.0216, \n:0.0168]
  step 20: [\n\n:0.6230, .:0.1785, .\n\n:0.0579, ..:0.0242, ..\n\n:0.0166]
  step 21: [\n\n:0.5664, .:0.2084, .\n\n:0.0676, ..:0.0282, ..\n\n:0.0194]
  step 22: [\n\n:0.5596, .:0.2059, .\n\n:0.0668, ..:0.0279, ..\n\n:0.0217]
  step 23: [\n\n:0.5606, .:0.2062, .\n\n:0.0670, ..:0.0279, ..\n\n:0.0217]
  step 24: [\n\n:0.5641, .:0.2075, .\n\n:0.0674, ..:0.0281, ..\n\n:0.0219]
  step 25: [\n\n:0.5327, .:0.2220, .\n\n:0.0721, ..:0.0301, ..\n\n:0.0234]
  step 26: [\n\n:0.5330, .:0.2222, .\n\n:0.0721, ..:0.0301, ..\n\n:0.0234]
  step 27: [\n\n:0.4919, .:0.2324, .\n\n:0.0855, ..:0.0356, ..\n\n:0.0245]
  step 28: [\n\n:0.4910, .:0.2320, .\n\n:0.0853, ..:0.0356, ..\n\n:0.0277]
  step 29: [\n\n:0.4628, .:0.2477, .\n\n:0.0911, ..:0.0380, ..\n\n:0.0261]
  step 30: [\n\n:0.4672, .:0.2501, .\n\n:0.0920, ..:0.0338, ..\n\n:0.0264]
  step 31: [\n\n:0.4352, .:0.2640, .\n\n:0.0971, ..:0.0357, ..\n\n:0.0278]
  step 32: [\n\n:0.4338, .:0.2631, .\n\n:0.0968, ..:0.0404, ..\n\n:0.0277]
  step 33: [\n\n:0.4306, .:0.2612, .\n\n:0.0961, ..:0.0401, ..\n\n:0.0312]
  step 34: [\n\n:0.4209, .:0.2553, .\n\n:0.1064, ..:0.0392, ..\n\n:0.0305]
  step 35: [\n\n:0.3774, .:0.2939, .\n\n:0.1081, ..:0.0451, ..\n\n:0.0310]
  step 36: [\n\n:0.3917, .:0.2692, .\n\n:0.1122, ..:0.0468, ..\n\n:0.0322]
  step 37: [\n\n:0.3661, .:0.2851, .\n\n:0.1189, ..:0.0437, ..\n\n:0.0341]
  step 38: [\n\n:0.3740, .:0.2913, .\n\n:0.1072, ..:0.0447, ..\n\n:0.0307]
  step 39: [\n\n:0.3461, .:0.3055, .\n\n:0.1124, ..:0.0468, ..\n\n:0.0322]

=== Case 29 ===
  Agent: Critic
  step 0: [Human:0.5880, A:0.0547, Given:0.0332, In:0.0258, You:0.0201]
  step 1: [ the:0.2932, .:0.2283,  a:0.0789,  to:0.0422, 't:0.0309]
  step 2: [.:0.4881, \n:0.0661, \n\n:0.0275, ,:0.0243,  in:0.0214]
  step 3: [.:0.4373, \n:0.0671, \n\n:0.0592, <space>:0.0359,  the:0.0280]
  step 4: [.:0.4006, \n\n:0.1474, \n:0.0789, <space>:0.0614,  the:0.0226]
  step 5: [.:0.4577, \n\n:0.1486, \n:0.0547, \n\t\n:0.0482, .\n\n:0.0426]
  step 6: [.:0.4601, \n\n:0.1494, \n\t\n:0.0550, .\n\n:0.0485, \n:0.0485]
  step 7: [.:0.4687, \n\n:0.1343, \n\t\n:0.0560, .\n\n:0.0494, \n:0.0385]
  step 8: [.:0.4490, \n\n:0.1286, .\n\n:0.0536, \n\t\n:0.0536, ..:0.0473]
  step 9: [.:0.4569, \n\n:0.1155, .\n\n:0.0546, ..:0.0546, \n\t\n:0.0482]
  step 10: [.:0.4464, \n\n:0.1129, .\n\n:0.0604, \n\t\n:0.0533, ..:0.0533]
  step 11: [.:0.4630, \n\n:0.1033, .\n\n:0.0627, ..:0.0553, \n\t\n:0.0431]
  step 12: [.:0.4559, \n\n:0.1017, .\n\n:0.0699, ..:0.0617, \n\t\n:0.0424]
  step 13: [.:0.4750, \n\n:0.0825, .\n\n:0.0728, ..:0.0643, \n\t\n:0.0390]
  step 14: [.:0.4779, \n\n:0.0830, .\n\n:0.0733, ..:0.0647, \n\t\n:0.0392]
  step 15: [.:0.4784, .\n\n:0.0734, \n\n:0.0734, ..:0.0647, \n\t\n:0.0393]
  step 16: [.:0.4716, .\n\n:0.0820, ..:0.0723, \n\n:0.0723, \n\t\n:0.0342]
  step 17: [.:0.4708, .\n\n:0.0818, ..:0.0722, \n\n:0.0722, \n\t\n:0.0320]
  step 18: [.:0.4744, .\n\n:0.0824, ..:0.0728, \n\n:0.0728, .t:0.0303]
  step 19: [.:0.4888, .\n\n:0.0849, ..:0.0750, \n\n:0.0661, \n\t\n:0.0294]
  step 20: [.:0.4808, .\n\n:0.0947, ..:0.0836, \n\n:0.0574, .t:0.0289]
  step 21: [.:0.4955, .\n\n:0.0861, ..:0.0760, \n\n:0.0592, .t:0.0280]
  step 22: [.:0.4745, .\n\n:0.1059, ..:0.0825, \n\n:0.0567, .t:0.0285]
  step 23: [.:0.4892, .\n\n:0.0963, ..:0.0850, \n\n:0.0516, ..\n\n:0.0313]
  step 24: [.:0.4710, .\n\n:0.1051, ..:0.0818, \n\n:0.0563, .t:0.0301]
  step 25: [.:0.4844, .\n\n:0.1081, ..:0.0842, \n\n:0.0511, ..\n\n:0.0310]
  step 26: [.:0.4892, .\n\n:0.1092, ..:0.0850, \n\n:0.0455, ..\n\n:0.0313]
  step 27: [.:0.4848, .\n\n:0.1082, ..:0.0842, \n\n:0.0451, .t:0.0310]
  step 28: [.:0.4596, .\n\n:0.1162, ..:0.0905, \n\n:0.0484, ..\n\n:0.0333]
  step 29: [.:0.4738, .\n\n:0.1198, ..:0.0933, \n\n:0.0441, ..\n\n:0.0343]
  step 30: [.:0.4725, .\n\n:0.1195, ..:0.0930, \n\n:0.0439, ..\n\n:0.0342]
  step 31: [.:0.4747, .\n\n:0.1200, ..:0.0935, \n\n:0.0390, ..\n\n:0.0344]
  step 32: [.:0.4645, .\n\n:0.1331, ..:0.0915, \n\n:0.0381, ..\n\n:0.0336]
  step 33: [.:0.4821, .\n\n:0.1219, ..:0.0949, \n\n:0.0396, ..\n\n:0.0349]
  step 34: [.:0.4838, .\n\n:0.1223, ..:0.0953, ..\n\n:0.0350, \n\n:0.0350]
  step 35: [.:0.4867, .\n\n:0.1231, ..:0.0958, ..\n\n:0.0353, \n\n:0.0353]
  step 36: [.:0.4862, .\n\n:0.1229, ..:0.0957, ..\n\n:0.0352, \n\n:0.0352]
  step 37: [.:0.4796, .\n\n:0.1374, ..:0.0944, ..\n\n:0.0347, \n\n:0.0347]
  step 38: [.:0.4870, .\n\n:0.1395, ..:0.0959, ..\n\n:0.0353, \n\n:0.0311]
  step 39: [.:0.4887, .\n\n:0.1400, ..:0.0962, ..\n\n:0.0354, \n\n:0.0312]

=== Case 30 ===
  Agent: Critic
  step 0: [Human:0.7363, A:0.0415, Given:0.0324, You:0.0196, In:0.0153]
  step 1: [.:0.2631,  the:0.1808, \n\n:0.0754,  a:0.0754, \n:0.0334]
  step 2: [.:0.5439, \n:0.0348, \n\n:0.0288, <space>:0.0198, ,:0.0198]
  step 3: [.:0.4799,  .:0.0888, \n\n:0.0370, <space>:0.0348, \n:0.0327]
  step 4: [.:0.4750,  .:0.1060, \n\n:0.0728, <space>:0.0470, \n:0.0344]
  step 5: [\n\n:0.3545, .:0.2437, .\n\n:0.0791, \n\t\n:0.0544, \n:0.0423]
  step 6: [\n\n:0.3587, .:0.2465, .\n\n:0.0800, \n\t\n:0.0550, \n:0.0378]
  step 7: [\n\n:0.3536, .:0.2430, .\n\n:0.0789, \n\t\n:0.0542, \n:0.0350]
  step 8: [\n\n:0.3286, .:0.2559, .\n\n:0.0831, \n\t\n:0.0445, \n:0.0346]
  step 9: [\n\n:0.3140, .:0.2445, .\n\n:0.0900, \n\t\n:0.0482, ..:0.0399]
  step 10: [\n\n:0.2923, .:0.2579, .\n\n:0.0949, \n\t\n:0.0448, ..:0.0421]
  step 11: [\n\n:0.2747, .:0.2747, .\n\n:0.1011, \n\t\n:0.0421, ..:0.0421]
  step 12: [.:0.2847, \n\n:0.2513, .\n\n:0.1048, ..:0.0495, \n\t\n:0.0385]
  step 13: [.:0.3005, \n\n:0.2340, .\n\n:0.1105, ..:0.0461, \n\t\n:0.0337]
  step 14: [.:0.2956, \n\n:0.2302, .\n\n:0.1087, ..:0.0514, \n\t\n:0.0332]
  step 15: [.:0.3083, \n\n:0.2119, .\n\n:0.1134, ..:0.0536, ..\n\n:0.0325]
  step 16: [.:0.3147, \n\n:0.1909, .\n\n:0.1158, ..:0.0620, ..\n\n:0.0332]
  step 17: [.:0.3002, \n\n:0.2063, .\n\n:0.1251, ..:0.0591, ..\n\n:0.0359]
  step 18: [.:0.3072, \n\n:0.1863, .\n\n:0.1281, ..:0.0605, ..\n\n:0.0367]
  step 19: [.:0.3034, \n\n:0.1840, .\n\n:0.1265, ..:0.0677, ..\n\n:0.0386]
  step 20: [.:0.3129, \n\n:0.1675, .\n\n:0.1304, ..:0.0698, ..\n\n:0.0398]
  step 21: [.:0.3073, \n\n:0.1645, .\n\n:0.1451, ..:0.0686, ..\n\n:0.0391]
  step 22: [.:0.3208, \n\n:0.1515, .\n\n:0.1337, ..:0.0716, ..\n\n:0.0408]
  step 23: [.:0.3099, .\n\n:0.1464, \n\n:0.1464, ..:0.0784, ..\n\n:0.0419]
  step 24: [.:0.3202, \n\n:0.1513, .\n\n:0.1335, ..:0.0715, ..\n\n:0.0433]
  step 25: [.:0.3262, .\n\n:0.1541, \n\n:0.1360, ..:0.0728, ..\n\n:0.0415]
  step 26: [.:0.3423, .\n\n:0.1427, \n\n:0.1259, ..:0.0764, ..\n\n:0.0435]
  step 27: [.:0.3359, .\n\n:0.1587, \n\n:0.1236, ..:0.0750, ..\n\n:0.0427]
  step 28: [.:0.3289, .\n\n:0.1553, \n\n:0.1210, ..:0.0831, ..\n\n:0.0445]
  step 29: [.:0.3284, .\n\n:0.1551, \n\n:0.1208, ..:0.0830, ..\n\n:0.0444]
  step 30: [.:0.3275, .\n\n:0.1547, \n\n:0.1205, ..:0.0828, ..\n\n:0.0443]
  step 31: [.:0.3282, .\n\n:0.1550, \n\n:0.1207, ..:0.0830, ..\n\n:0.0444]
  step 32: [.:0.3354, .\n\n:0.1584, \n\n:0.1089, ..:0.0848, ..\n\n:0.0454]
  step 33: [.:0.3363, .\n\n:0.1588, \n\n:0.1092, ..:0.0850, ..\n\n:0.0455]
  step 34: [.:0.3307, .\n\n:0.1770, \n\n:0.0948, ..:0.0836, ..\n\n:0.0448]
  step 35: [.:0.3229, .\n\n:0.1728, ..:0.0925, \n\n:0.0925, ..\n\n:0.0495]
  step 36: [.:0.3400, .\n\n:0.1606, \n\n:0.0974, ..:0.0860, ..\n\n:0.0460]
  step 37: [.:0.3328, .\n\n:0.1782, \n\n:0.0954, ..:0.0842, ..\n\n:0.0450]
  step 38: [.:0.3261, .\n\n:0.1745, \n\n:0.0934, ..:0.0824, ..\n\n:0.0500]
  step 39: [.:0.3127, .\n\n:0.1897, ..:0.0896, \n\n:0.0896, ..\n\n:0.0480]

=== Case 31 ===
  Agent: Critic
  step 0: [Human:0.6813, Given:0.0436, Q:0.0299, A:0.0299, In:0.0233]
  step 1: [.:0.5078,  the:0.1868, \n\n:0.0472,  a:0.0286,  .:0.0238]
  step 2: [.:0.5245, \n:0.0553, \n\n:0.0404, <space>:0.0278,  for:0.0245]
